latitude,longitude,free_bikes,names,ratings,locations,distances,price,popularity,total_photos,total_ratings
49.260599,-123.113504,3,Menchies Frozen Yogurt,8.2,"2315 Cambie St (at W 7th Ave), Vancouver BC V5Z 2T9",477,1.0,0.9200166948075356,225.0,69.0
49.260599,-123.113504,3,Caffe Cittadella,8.6,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",545,2.0,0.954620477699152,137.0,81.0
49.264215,-123.117772,5,Caffe Cittadella,8.6,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",74,2.0,0.954620477699152,137.0,81.0
49.264215,-123.117772,5,Elysian Coffee Broadway,8.2,"590 Broadway W (at Ash St), Vancouver BC V5Z 1E9",120,1.0,0.9569918992240708,171.0,199.0
49.264215,-123.117772,5,Cactus Club Cafe Broadway + Ash,7.6,"575 West Broadway (at Ash St), Vancouver BC V5Z 1E6",96,3.0,0.983096507370378,107.0,96.0
49.264215,-123.117772,5,Whole Foods,8.5,"510 8th Ave W (at Cambie St), Vancouver BC V5Z 1C5",180,3.0,0.9968507522149076,431.0,364.0
49.264215,-123.117772,5,Menchies Frozen Yogurt,8.2,"2315 Cambie St (at W 7th Ave), Vancouver BC V5Z 2T9",208,1.0,0.9200166948075356,225.0,69.0
49.264215,-123.117772,5,Dynasty Seafood Restaurant 皇朝海鮮酒家,7.6,"777 Broadway W, Vancouver BC V5Z 4J7",259,1.0,0.9819961677828156,182.0,105.0
49.264215,-123.117772,5,La Taqueria Pinche Taco Shop,8.5,"2450 Yukon St (at W Broadway), Vancouver BC V5Y 0A4",368,2.0,0.9206048073457154,283.0,366.0
49.264215,-123.117772,5,Body Energy Club,7.5,"555 12th Ave W (at City Square), Vancouver BC V5Z 3X7",360,,0.9026768606173284,12.0,10.0
49.264215,-123.117772,5,Aperture Coffee Bar,8.4,"243 West Broadway (at Alberta St), Vancouver BC V5Y 1P5",542,1.0,0.9155773937128872,72.0,94.0
