names,ratings,locations,distances,latitude,longitude,price,popularity,total_photos,total_ratings
Earnest Ice Cream,9.3,"1829 Quebec St (at E 2nd Ave), Vancouver BC V5T 2Z3",327,49.271721,-123.104207,1.0,0.9818254254330215,267.0,298.0
Creekside Park,8.9,"1455 Quebec St (at Science World), Vancouver BC V6A 3Z7",342,49.271721,-123.104207,,0.9990324600178331,198.0,81.0
Faculty Brewing Co,8.3,"1830 Ontario St (at E 2nd Ave), Vancouver BC V5T 2W6",337,49.271721,-123.104207,2.0,0.9526853977348182,118.0,58.0
Mountain Equipment Co-Op,7.8,"111 2nd Ave E (at Quebec Street), Vancouver BC V5T 1B4",304,49.271721,-123.104207,,0.9900210582231412,13.0,12.0
Argo Cafe,7.7,"1836 Ontario St (at 3rd Ave.), Vancouver BC V5T 2W6",350,49.271721,-123.104207,1.0,0.9318548310599306,43.0,36.0
Miku,9.0,"200 Granville St (West Cordova Street), Vancouver BC V6C 1S4",81,49.287214,-123.11287,3.0,0.9971163514256987,989.0,615.0
Granville Square,8.2,"200 Granville St (at W Cordova St), Vancouver BC V6C 1S4",81,49.287214,-123.11287,,0.9918802526986777,98.0,29.0
The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",184,49.287214,-123.11287,,0.9915767107434881,252.0,42.0
Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",216,49.287214,-123.11287,1.0,0.9956365843941493,48.0,10.0
FlyOver Canada,9.3,"999 Canada Pl Way, Vancouver BC V6C 3E1",276,49.287214,-123.11287,,0.9980649200356662,230.0,371.0
Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",291,49.287214,-123.11287,1.0,0.9814270266168352,127.0,69.0
Vancouver Lookout,8.5,"555 Hastings St W (Harbour Centre), Vancouver BC V6B 4N6",289,49.287214,-123.11287,,0.9844814175409308,632.0,193.0
Tap & Barrel,8.8,"1055 Canada Pl, Vancouver BC V6C 0C3",413,49.287214,-123.11287,2.0,0.9918233385820796,447.0,353.0
Gastown Steam Clock,8.7,"305 Water St (at Cambie St), Vancouver BC V6B 1B8",423,49.287214,-123.11287,,0.997514750241885,1262.0,496.0
Cactus Club Cafe,8.7,"1085 Canada Pl, Vancouver BC V6C 0C6",428,49.287214,-123.11287,3.0,0.9966800098651135,744.0,622.0
Nespresso Boutique,8.6,"674 Granville St (at Georgia St), Vancouver BC V6C 1Z6",69,49.282409,-123.118541,1.0,0.9695509476200413,70.0,32.0
Hawksworth Restaurant,9.1,"801 Georgia St W (at Howe St), Vancouver BC V6C 1P7",125,49.282409,-123.118541,4.0,0.9903246001783309,411.0,273.0
Vancouver Art Gallery,8.6,"750 Hornby St (btwn Robson & W Georgia St.), Vancouver BC V6Z 2H7",146,49.282409,-123.118541,,0.9961488114435317,1598.0,564.0
Gotham Steakhouse & Cocktail Bar,9.2,"615 Seymour St (btwn Dunsmuir & W Georgia), Vancouver BC V6B 3K3",199,49.282409,-123.118541,4.0,0.9869097531824477,167.0,175.0
The Keg Steakhouse + Bar,8.7,"688 Dunsmuir St, Vancouver BC V6B 1N3",194,49.282409,-123.118541,2.0,0.982280738365806,141.0,208.0
Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",210,49.282409,-123.118541,,0.9955986416497505,37.0,79.0
Commodore Ballroom,9.1,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",238,49.282409,-123.118541,,0.9736487640151013,729.0,295.0
Cafe Medina,9.0,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",238,49.282409,-123.118541,2.0,0.9852402724289048,995.0,1116.0
Kokoro Tokyo Mazesoba,8.8,"551 Seymour St, Vancouver BC V6B 3H6",268,49.282409,-123.118541,1.0,0.9792453188139099,90.0,40.0
The Orpheum,8.8,"601 Smithe St (btwn Smithe & Robson), Vancouver BC V6B 3L4",282,49.282409,-123.118541,,0.9875927225816243,625.0,211.0
Cactus Club Cafe Bentall 5,8.3,"588 Burrard St (at Dunsmuir St), Vancouver BC V6C 0A8",163,49.287097,-123.118551,2.0,0.9958832122327408,435.0,328.0
Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",195,49.287097,-123.118551,1.0,0.9814270266168352,127.0,69.0
The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",228,49.287097,-123.118551,,0.9915767107434881,252.0,42.0
Cactus Club Cafe,8.7,"1085 Canada Pl, Vancouver BC V6C 0C6",271,49.287097,-123.118551,3.0,0.9966800098651135,744.0,622.0
Jack Poole Plaza,9.0,"Vancouver Convention Ctr (at Thurlow St), Vancouver BC V6C 3E1",292,49.287097,-123.118551,,0.9950484718559693,426.0,49.0
Hy's Steakhouse & Cocktail Bar,8.2,"637 Hornby St (btwn Dunsmuir & Georgia), Vancouver BC V6C 2G3",272,49.287097,-123.118551,4.0,0.9495740926941245,117.0,93.0
Tap & Barrel,8.8,"1055 Canada Pl, Vancouver BC V6C 0C3",312,49.287097,-123.118551,2.0,0.9918233385820796,447.0,353.0
Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",320,49.287097,-123.118551,1.0,0.9956365843941493,48.0,10.0
49th Parallel Café & Lucky's Doughnuts - THURLOW,8.9,"689 Thurlow St, Vancouver BC V6E 0A1",340,49.287097,-123.118551,1.0,0.9930754491472368,157.0,122.0
Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",347,49.287097,-123.118551,,0.9955986416497505,37.0,79.0
OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",94,49.273471,-123.118016,1.0,0.9687351786154692,94.0,44.0
La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",162,49.273471,-123.118016,4.0,0.9513574016808636,29.0,34.0
Minami Restaurant,9.0,"1118 Mainland St (at Helmcken St.), Vancouver BC V6B 2T9",292,49.273471,-123.118016,3.0,0.9346246514010358,569.0,326.0
Mister,8.8,"1141 Mainland St (btwn Davie & Helmcken), Vancouver BC V6B 5P2",297,49.273471,-123.118016,1.0,0.9652444461307886,109.0,85.0
Angus T,8.9,"1036 Mainland St, Vancouver BC V6B 2T4",308,49.273471,-123.118016,1.0,0.9421373147919789,52.0,26.0
Cooper's Park,8.8,"1020 Marinaside Cres (Cambie Bridge), Vancouver BC",309,49.273471,-123.118016,,0.9970404659369012,208.0,62.0
Tacofino,9.0,"1025 Mainland St (Nelson), Vancouver BC V6B 5P9",343,49.273471,-123.118016,1.0,0.9687731213598679,41.0,94.0
The Flying Pig Yaletown,8.8,"1168 Hamilton St (btwn Davie & Helmcken St), Vancouver BC V6B 2S2",364,49.273471,-123.118016,3.0,0.9588510936996073,372.0,381.0
Blue Water Cafe + Raw Bar,9.1,"1095 Hamilton St (at Helmcken St), Vancouver BC V6B 5T4",373,49.273471,-123.118016,4.0,0.9664775853237465,381.0,317.0
The Keg Steakhouse + Bar - Yaletown,8.2,"1011 Mainland St (at Nelson St), Vancouver BC V6B 5P9",365,49.273471,-123.118016,3.0,0.9727950522661304,249.0,210.0
Lululemon Athletica,8.2,"1148 Robson St (At Burrard St), Vancouver BC V6E 1B2",66,49.282758,-123.122092,,0.9902107719451347,97.0,123.0
Vancouver Art Gallery,8.6,"750 Hornby St (btwn Robson & W Georgia St.), Vancouver BC V6Z 2H7",118,49.282758,-123.122092,,0.9961488114435317,1598.0,564.0
JOEY Burrard,8.1,"820 Burrard St, Vancouver BC V6Z 1X9",102,49.282758,-123.122092,2.0,0.9911024264385043,312.0,259.0
Boulevard Kitchen & Oyster Bar,8.3,"845 Burrard St (Robson Street), Vancouver BC V6Z 2K6",113,49.282758,-123.122092,4.0,0.9919371668152758,129.0,69.0
Rocky Mountain Chocolate Factory,8.7,"1017 Robson St (at Burrard St.), Vancouver BC V6E 1A9",130,49.282758,-123.122092,1.0,0.9552655043539299,91.0,64.0
Indigo - Robson,9.1,"1033 Robson St, Vancouver BC V6E 1A9",174,49.282758,-123.122092,,0.9947259585285804,99.0,29.0
Hawksworth Restaurant,9.1,"801 Georgia St W (at Howe St), Vancouver BC V6C 1P7",202,49.282758,-123.122092,4.0,0.9903246001783309,411.0,273.0
Le Crocodile Restaurant,8.9,"100A90 Burrard St (Smithe St), Vancouver BC V6Z 2N2",231,49.282758,-123.122092,4.0,0.9374513858587392,143.0,87.0
Sephora,8.2,"1045 Robson St, Vancouver BC V6E 1A9",209,49.282758,-123.122092,,0.9872132951376373,52.0,67.0
Commodore Ballroom,9.1,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",257,49.282758,-123.122092,,0.9736487640151013,729.0,295.0
Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",144,49.28602,-123.116624,1.0,0.9956365843941493,48.0,10.0
The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",170,49.28602,-123.116624,,0.9915767107434881,252.0,42.0
Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",218,49.28602,-123.116624,,0.9955986416497505,37.0,79.0
Cactus Club Cafe Bentall 5,8.3,"588 Burrard St (at Dunsmuir St), Vancouver BC V6C 0A8",193,49.28602,-123.116624,2.0,0.9958832122327408,435.0,328.0
Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",250,49.28602,-123.116624,1.0,0.9814270266168352,127.0,69.0
Hy's Steakhouse & Cocktail Bar,8.2,"637 Hornby St (btwn Dunsmuir & Georgia), Vancouver BC V6C 2G3",237,49.28602,-123.116624,4.0,0.9495740926941245,117.0,93.0
The Keg Steakhouse + Bar,8.7,"688 Dunsmuir St, Vancouver BC V6B 1N3",287,49.28602,-123.116624,2.0,0.982280738365806,141.0,208.0
Kokoro Tokyo Mazesoba,8.8,"551 Seymour St, Vancouver BC V6B 3H6",310,49.28602,-123.116624,1.0,0.9792453188139099,90.0,40.0
Granville Square,8.2,"200 Granville St (at W Cordova St), Vancouver BC V6C 1S4",294,49.28602,-123.116624,,0.9918802526986777,98.0,29.0
Baghdad Cafe,8.4,"548 Seymour St, Vancouver BC V6B 3J5",318,49.28602,-123.116624,1.0,0.9670846692341257,39.0,57.0
Vancouver Public Library,9.1,"350 Georgia St W (btwn Homer & Hamilton), Vancouver BC V6B 6B1",72,49.279739,-123.116251,,0.9985012615962513,1249.0,389.0
Cafe Medina,9.0,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",101,49.279739,-123.116251,2.0,0.9852402724289048,995.0,1116.0
Fanny Bay Oyster Bar & Shellfish Market,9.0,"762 Cambie St, Vancouver BC V6B 2P2",183,49.279739,-123.116251,4.0,0.9729657946159246,162.0,60.0
Black Rice Izakaya,8.5,"782 Cambie St (Robson), Vancouver BC V6B 2P2",184,49.279739,-123.116251,,0.9254614786287492,64.0,71.0
