latitude,longitude,free_bikes
49.287782,-123.12395,14
49.28512,-123.11242,8
49.247854,-123.153422,9
49.265939,-123.1129,6
49.261122,-123.097571,3
49.267725,-123.11311,12
49.245135,-123.116098,6
49.274232,-123.129998,14
49.238105,-123.154966,2
49.246243,-123.124373,7
49.249722,-123.104991,2
49.243375,-123.104978,16
49.282087,-123.056909,13
49.283968,-123.061615,2
49.287464,-123.060771,11
49.285575,-123.061575,5
49.251358,-123.115637,2
49.249184,-123.116141,0
49.245535,-123.120496,6
49.289255,-123.132677,22
49.252656,-123.067965,6
49.259469,-123.145718,8
49.277178,-123.13,15
49.291597,-123.129158,15
49.247203999999996,-123.101549,11
49.2856698,-123.1125432,10
49.25094,-123.101306,6
49.270783,-123.141564,9
49.264019,-123.209176,4
49.2658,-123.20596,13
49.265442,-123.187738,7
